oid,locIndex,geoid10,csaName,walkIndex
"33770",41.42674,"80050055531","Denver-Aurora-Boulder, CO","15"
"33771",42.72561,"80050055532","Denver-Aurora-Boulder, CO","11"
"33772",43.01091,"80050055533","Denver-Aurora-Boulder, CO","12"
"33773",52.22995,"80050056111","Denver-Aurora-Boulder, CO","8"
"33774",41.79063,"80050056112","Denver-Aurora-Boulder, CO","10"
"33775",42.27293,"80050056113","Denver-Aurora-Boulder, CO","16"
"33776",45.785,"80050056114","Denver-Aurora-Boulder, CO","13"
"33777",71.8946,"80050056121","Denver-Aurora-Boulder, CO","12"
"33778",44.54993,"80050056122","Denver-Aurora-Boulder, CO","13"
"33779",47.57886,"80050056141","Denver-Aurora-Boulder, CO","10"
"33780",48.44683,"80050056142","Denver-Aurora-Boulder, CO","13"
"33781",46.20151,"80050056143","Denver-Aurora-Boulder, CO","15"
"33782",58.95176,"80050056191","Denver-Aurora-Boulder, CO","11"
"33783",49.3257,"80050056192","Denver-Aurora-Boulder, CO","11"
"33784",42.31423,"80050056193","Denver-Aurora-Boulder, CO","13"
"33785",41.9226,"80050056194","Denver-Aurora-Boulder, CO","14"
"33786",28.8503,"80050056201","Denver-Aurora-Boulder, CO","17"
"33787",45.29229,"80050056202","Denver-Aurora-Boulder, CO","12"
"33788",51.8923,"80050056211","Denver-Aurora-Boulder, CO","8"
"33789",49.09748,"80050056212","Denver-Aurora-Boulder, CO","7"
"33790",61.42023,"80050056221","Denver-Aurora-Boulder, CO","8"
"33791",42.29511,"80050056222","Denver-Aurora-Boulder, CO","12"
"33792",49.87934,"80050056231","Denver-Aurora-Boulder, CO","9"
"33793",53.85741,"80050056232","Denver-Aurora-Boulder, CO","5"
"33794",49.23766,"80050056241","Denver-Aurora-Boulder, CO","16"
"33795",42.49286,"80050056251","Denver-Aurora-Boulder, CO","13"
"33796",49.31982,"80050056252","Denver-Aurora-Boulder, CO","11"
"33797",46.66595,"80050056261","Denver-Aurora-Boulder, CO","16"
"33798",37.97282,"80050056262","Denver-Aurora-Boulder, CO","12"
"33799",47.07295,"80050056271","Denver-Aurora-Boulder, CO","15"
"33800",48.49579,"80050056272","Denver-Aurora-Boulder, CO","15"
"33801",51.6158,"80050056273","Denver-Aurora-Boulder, CO","13"
"33802",46.34316,"80050056281","Denver-Aurora-Boulder, CO","10"
"33803",49.07187,"80050056282","Denver-Aurora-Boulder, CO","11"
"33804",52.43725,"80050056283","Denver-Aurora-Boulder, CO","17"
"33805",42.40075,"80050056284","Denver-Aurora-Boulder, CO","7"
"33806",53.08829,"80050056291","Denver-Aurora-Boulder, CO","7"
"33807",58.40041,"80050056292","Denver-Aurora-Boulder, CO","9"
"33808",45.79962,"80050056301","Denver-Aurora-Boulder, CO","12"
"33809",53.26782,"80050056302","Denver-Aurora-Boulder, CO","9"
"33810",41.95695,"80050056303","Denver-Aurora-Boulder, CO","14"
"33811",49.86783,"80050056304","Denver-Aurora-Boulder, CO","16"
"33812",56.45509,"80050056311","Denver-Aurora-Boulder, CO","16"
